,Store Name,Address,Type,Rating,Reviews,URL
61,Basha Sandwiches,"A cote de cafe faiez et Epices, baccar, 3000 Rue Majida Boulila",Restaurant,"4,1",13,https://www.google.com/maps/place/Basha+Sandwiches/data=!4m7!3m6!1s0x1301d332858e5a9d:0x313d2b9613011695!8m2!3d34.7421447!4d10.7533444!16s%2Fg%2F11fklj_1jx!19sChIJnVqOhTLTARMRlRYBE5YrPTE?authuser=0&hl=fr&rclk=1
62,Restaurant La Renaissance,PQH6+P6R,Restaurant,"4,2",29,https://www.google.com/maps/place/Restaurant+La+Renaissance/data=!4m7!3m6!1s0x13002d292acefa85:0xc98e87df54a9a7d3!8m2!3d34.7293652!4d10.7605173!16s%2Fg%2F11c55k970g!19sChIJhfrOKiktABMR06epVN-Hjsk?authuser=0&hl=fr&rclk=1
63,Restaurant Royal,PQM7+F42,Restaurant,"5,0",2,https://www.google.com/maps/place/Restaurant+Royal/data=!4m7!3m6!1s0x13002d2c4fa684c1:0x7d9684b9acb7c234!8m2!3d34.733627!4d10.762769!16s%2Fg%2F11csrsf5q_!19sChIJwYSmTywtABMRNMK3rLmEln0?authuser=0&hl=fr&rclk=1
64,La Medina,Rue de Ribat,Restaurant,"5,0",1,https://www.google.com/maps/place/La+Medina/data=!4m7!3m6!1s0x13002d9f9797b12f:0x69aac6851e9f8f9a!8m2!3d34.7302282!4d10.757865!16s%2Fg%2F11t7zbh6z4!19sChIJL7GXl58tABMRmo-fHoXGqmk?authuser=0&hl=fr&rclk=1
65,Sandwich Des Sportifs,PQM6+3MF,Restauration rapide,"4,8",5,https://www.google.com/maps/place/Sandwich+Des+Sportifs/data=!4m7!3m6!1s0x13002d2c172236e5:0x8c79ff870482316d!8m2!3d34.7326793!4d10.761683!16s%2Fg%2F11dfj6kr21!19sChIJ5TYiFywtABMRbTGCBIf_eYw?authuser=0&hl=fr&rclk=1
66,La Régence,,Bar,"4,1",39,https://www.google.com/maps/place/La+R%C3%A9gence/data=!4m7!3m6!1s0x13002d2dca194f53:0x16538327930c625a!8m2!3d34.7330556!4d10.7636111!16s%2Fg%2F1ptxk33yw!19sChIJU08Zyi0tABMRWmIMkyeDUxY?authuser=0&hl=fr&rclk=1
67,Restaurant chich taouk,QP8V+FW4,Restauration rapide,"3,7",40,https://www.google.com/maps/place/Restaurant+chich+taouk/data=!4m7!3m6!1s0x1301d340f741ebdf:0xa0ab2618fc7549f3!8m2!3d34.7660898!4d10.7445431!16s%2Fg%2F11khjjmxd4!19sChIJ3-tB90DTARMR80l1_Bgmq6A?authuser=0&hl=fr&rclk=1
68,Restaurant ElMakhzen,Nahj sayaghin,Restaurant,"4,0",52,https://www.google.com/maps/place/Restaurant+ElMakhzen/data=!4m7!3m6!1s0x13002d2b5af60cf1:0x5e98d106eb8b851f!8m2!3d34.7367278!4d10.7599583!16s%2Fg%2F11c6f09w2k!19sChIJ8Qz2WistABMRH4WL6wbRmF4?authuser=0&hl=fr&rclk=1
69,Restaurant Sultan,,Restauration rapide,"4,0",3,https://www.google.com/maps/place/Restaurant+Sultan/data=!4m7!3m6!1s0x13002d8b7e35bbe1:0x473ea4021d2806aa!8m2!3d34.7293914!4d10.7601217!16s%2Fg%2F11rqk_1qf9!19sChIJ4bs1fostABMRqgYoHQKkPkc?authuser=0&hl=fr&rclk=1
70,Pringfood,"PQR4+VCM, Av. de Carthage",Restaurant,"3,7",69,https://www.google.com/maps/place/Pringfood/data=!4m7!3m6!1s0x1301d2d5c6ffdbeb:0x431cac69d222de7e!8m2!3d34.7422071!4d10.756041!16s%2Fg%2F11fylswpcj!19sChIJ69v_xtXSARMRft4i0mmsHEM?authuser=0&hl=fr&rclk=1
